Name,Room Type,Days of Stay,Price per Night ($),# of tenants,Total Reviews,Experience Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Overall Rating,Bayesian Rating
D1 -  Million Dollar View 2 BR,Entire home/apt,90,150.0,4,16,9.3,9.0,10.0,9.0,10.0,47.3,48.38306898870598
Monthly (or Longer ) Designer One Bedroom Downtown,Entire home/apt,30,85.0,1,430,9.3,10.0,9.0,10.0,10.0,48.3,48.3662278153321
Vancouver's best kept secret,Entire home/apt,30,145.0,1,88,9.8,10.0,10.0,10.0,10.0,49.8,48.57242769912354
EcoLoft Vancouver,Entire home/apt,3,140.0,3,33,9.5,9.0,10.0,9.0,10.0,47.5,48.36607305660813
Close to PNE/Hastings Park and East Village,Entire home/apt,3,195.0,3,5,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.41817207547624
"1 block to skytrain station, shops,restaurant,bank",Entire home/apt,30,100.0,5,3,8.0,6.0,8.0,9.0,10.0,41.0,48.37582071329723
Vancouver 4br 3ba house 20min to DT,Entire home/apt,4,130.0,6-10,5,10.0,10.0,10.0,10.0,10.0,50.0,48.42117057622587
"Central location, nice little apartment",Entire home/apt,3,94.0,1,194,9.200000000000001,8.0,10.0,10.0,10.0,47.2,48.135187820493755
private rm in clean central 2BR apt,Private room,30,51.0,1,118,9.1,8.0,10.0,10.0,10.0,47.1,48.21118047992648
Commercial Drive B&B,Private room,1,79.0,1,390,10.0,10.0,10.0,10.0,10.0,50.0,48.99897412009758
"Comfort Suite on Kits Beach + Netflix, and Youtube",Entire home/apt,2,439.0,1,14,8.200000000000001,8.0,10.0,9.0,10.0,45.2,48.34278221056606
*Best choice in downtown-5 Stars * -2,Private room,30,50.0,1,121,9.1,9.0,9.0,9.0,10.0,46.1,48.05238923926265
Spacious Apartment near Granville Island and VGH,Entire home/apt,30,128.0,1,37,9.4,10.0,10.0,10.0,10.0,49.4,48.46168923368048
Bright & Cheerful Uptown Garden Suite,Entire home/apt,30,69.0,2,74,9.600000000000001,10.0,10.0,10.0,9.0,48.6,48.42842496513948
PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,Private room,2,43.0,1,331,9.4,10.0,10.0,10.0,9.0,48.4,48.40616392179522
PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),Entire home/apt,28,90.0,1,214,9.5,10.0,10.0,10.0,9.0,48.5,48.431416409066955
"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",Private room,30,150.0,1,24,9.3,9.0,9.0,10.0,9.0,46.3,48.33545302382311
Walker's paradise in Kitsilano,Entire home/apt,30,200.0,5,16,10.0,10.0,10.0,10.0,10.0,50.0,48.44678580286527
The Alpha Downtown Accommodation by COMFYSUITES,Entire home/apt,30,159.0,3,35,9.5,9.0,10.0,10.0,10.0,48.5,48.41380311957339
Designer Urban Park View Townhouse,Entire home/apt,30,100.0,2,80,8.700000000000001,9.0,9.0,9.0,8.0,43.7,47.901510477550744
“Suite on Main”  near  Q.E Park,Entire home/apt,4,110.0,3,52,9.9,10.0,10.0,10.0,10.0,49.9,48.51781621056394
Downtown Yaletown Trendy 2 Bd/2Bth,Entire home/apt,30,132.0,3,76,9.4,9.0,10.0,10.0,10.0,48.4,48.408293732171614
"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",Private room,2,75.0,1,419,9.4,10.0,10.0,10.0,10.0,49.4,48.793266211232805
The Charlie by COMFYSUITES,Entire home/apt,30,159.0,2,29,9.5,10.0,9.0,10.0,10.0,48.5,48.41305466619776
Boutique Studio Apartment in Kits!,Entire home/apt,31,,1,9,9.8,10.0,10.0,10.0,10.0,49.8,48.42789981273123
Yaletown 1 Bedroom Condo,Entire home/apt,90,89.0,3,37,9.700000000000001,10.0,9.0,9.0,10.0,47.7,48.371703539832126
"Open-concept, Modern Heritage Home with over 20 Skylights",Entire home/apt,3,200.0,3,22,9.9,10.0,10.0,10.0,10.0,49.9,48.457194114536044
Central Convenient Vibrant Neighbourhood!,Entire home/apt,7,210.0,3,12,9.8,10.0,10.0,10.0,10.0,49.8,48.434007083594445
Amazing Downtown Vancouver Condo!,Entire home/apt,30,121.0,2,14,9.4,9.0,10.0,10.0,10.0,48.4,48.40905439991517
Room with a Garden View!,Entire home/apt,2,100.0,2,641,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.99502745536658
"Studio, private patio, WIFI/Cbl, pets & long term!",Entire home/apt,30,150.0,1,474,9.600000000000001,10.0,10.0,10.0,9.0,48.6,48.48883870980868
Your Downtown Executive Suite,Entire home/apt,30,110.0,1,267,9.8,10.0,10.0,10.0,10.0,49.8,48.80895670004592
"Clean and Comfy, 2 Bd, Walk to the Drive",Entire home/apt,3,125.0,2,103,9.3,10.0,10.0,10.0,10.0,49.3,48.529177482800854
Main Street Vineyard,Private room,2,85.0,2,496,9.4,9.0,10.0,9.0,10.0,47.4,47.976960945028196
"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",Private room,30,45.0,1,53,9.0,10.0,9.0,10.0,9.0,47.0,48.30478429977993
"West view, Transit convenient, clean & comfortable",Private room,30,40.0,1,41,9.200000000000001,10.0,9.0,9.0,9.0,46.2,48.280399394513026
"1905 Heritage Loft, Main/Broadway, Olympic Village",Entire home/apt,6,95.0,1,115,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.58548362206262
Family friendly Point Grey Home,Entire home/apt,4,150.0,5,153,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.65155923232228
Charming and Homely Downtown Penthouse,Entire home/apt,3,300.0,3,7,9.700000000000001,10.0,9.0,10.0,10.0,48.7,48.41228815297856
VANCOUVER'S BEST PRIVATE SUITE/LOFT,Entire home/apt,30,90.0,1,116,9.600000000000001,10.0,10.0,10.0,9.0,48.6,48.43768737062038
KITS SUPER CENTRAL DELIGHTFULL APT!,Entire home/apt,30,131.0,3,57,9.8,10.0,10.0,10.0,10.0,49.8,48.519500381561414
A Real Gem in the Heart of Kits,Entire home/apt,3,135.0,3,201,9.200000000000001,9.0,10.0,10.0,10.0,48.2,48.36051074663112
"Amazing views, Cultural heart of Vancouver-Robson3",Entire home/apt,30,102.0,3,10,9.1,9.0,10.0,9.0,10.0,47.1,48.38976305705752
"Stunning views, comfort, location!!",Entire home/apt,31,100.0,2,1,10.0,8.0,10.0,10.0,10.0,48.0,48.40862861891803
Heritage Loft in heart of Gastown,Entire home/apt,14,225.0,1,68,9.8,10.0,10.0,10.0,10.0,49.8,48.5387955812913
Luxury Coach House in Kitsilano,Entire home/apt,2,250.0,6-10,11,10.0,10.0,10.0,10.0,10.0,50.0,48.43524632146011
FABULOUS Luxury Downtown Vancouver!,Entire home/apt,120,99.0,3,52,9.600000000000001,9.0,10.0,10.0,10.0,48.6,48.42313833941549
D27 - 3 Bedroom in Coal Harbour,Entire home/apt,90,197.0,5,2,10.0,10.0,10.0,10.0,10.0,50.0,48.41403731075701
Sunset views - LGBTQ2+ friendly,Private room,2,70.0,1,72,9.9,10.0,10.0,10.0,10.0,49.9,48.555477894199804
Close to downtown/shops/restaurants/skytrain,Entire home/apt,30,100.0,6-10,6,8.0,7.0,9.0,7.0,8.0,39.0,48.32473169811775
